verb,freq
gætte,2
nedskudt,2
ind,2
tynger,2
tilfredsstillende,2
tilbagelægge,2
anvise,2
varme,2
regt,2
ærgrer,2
skælne,2
bryde,2
laste,2
oplyst,2
foretrækker,2
slagtet,2
bortlovet,2
kostet,2
mistet,2
binde,2
indtrådt,2
gled,2
thelefonerede,2
liste,2
ønsket,2
opdrage,2
erhvervet,2
fortjent,2
strenges,2
prale,2
gifte,2
nærmer,2
røre,2
sammenskudt,2
stiger,2
drik,2
opfyldt,2
hjulpet,2
sælges,2
møde,2
handler,2
tilkommer,2
indpakket,2
tak,2
indtræffer,2
lykkedes,2
beskytter,2
plukket,2
tærsket,2
dødser,2
overvinde,2
photograferet,2
spyttede,2
flyttede,2
udrejst,2
nævner,2
vokser,2
døbe,2
forvar,2
afskåren,2
savnet,2
taltes,1
angaar,1
hed,1
fulgt,1
overstaaet,1
hvisker,1
glippe,1
pjatte,1
føle,1
bevares,1
tor,1
slaa,1
snyde,1
betro,1
ret,1
aflevere,1
brækkede,1
jævner,1
underpløjet,1
raabt,1
aflægge,1
optagen,1
narrede,1
tillod,1
forudtænkte,1
hvilet,1
strikket,1
tumler,1
trodse,1
brydes,1
forføre,1
overveje,1
taale,1
fornærmet,1
begribe,1
plomberede,1
maa,1
skingrede,1
druknede,1
stolede,1
spøgte,1
gider,1
syr,1
sparker,1
rister,1
kjendte,1
fatte,1
dundrer,1
gjætte,1
udeblev,1
sunde,1
saas,1
knyttes,1
byttet,1
omtalt,1
vred,1
grinte,1
ansat,1
',1
stile,1
fortrød,1
smuttet,1
fornyet,1
komner,1
forstilt,1
smigrer,1
spinde,1
bakket,1
foresat,1
tælles,1
foretræk,1
betragte,1
opstår,1
påtage,1
dreven,1
forlangtes,1
lejet,1
smykket,1
dukker,1
pløjede,1
malke,1
hænde,1
leverede,1
fa,1
indvie,1
fåes,1
dræbt,1
tjenestgørende,1
medførte,1
gere,1
klippe,1
bunden,1
snyltende,1
klakset,1
pikkede,1
synges,1
danser,1
druknet,1
kæntret,1
inddeles,1
hensat,1
afleveret,1
tilsidesat,1
omgåes,1
redte,1
plyndrede,1
rakke,1
udraget,1
indgivet,1
fri,1
kommanderer,1
tænkende,1
spar,1
rumme,1
indespærret,1
strikke,1
sner,1
udfyldt,1
svede,1
krable,1
udmattet,1
tie,1
fragte,1
undskyldt,1
udrustet,1
træner,1
straffes,1
sunget,1
svinde,1
kravle,1
foreføres,1
opstilt,1
blinkende,1
forstyrret,1
fodre,1
pyntede,1
skál,1
børstes,1
trave,1
pudses,1
døser,1
opbyggede,1
forskydes,1
behandler,1
ombyttet,1
arresteret,1
trykke,1
bandet,1
opspist,1
udstilles,1
arresteres,1
valgt,1
bevogte,1
halvsovede,1
bevilliget,1
udtagen,1
undersøges,1
plage,1
lér,1
børste,1
udbemærket,1
angivet,1
forme,1
forsålet,1
nb,1
egner,1
kripler,1
sikret,1
udannet,1
male,1
indbød,1
tugte,1
reder,1
fremførte,1
inddelt,1
højre,1
nægtet,1
udførte,1
bestraffet,1
stifter,1
assurere,1
omgås,1
...,1
smånipper,1
krøvler,1
forbigående,1
skinne,1
forslået,1
forelæst,1
gale,1
frygtede,1
repræsentere,1
udnævnt,1
bander,1
beredt,1
træde,1
dumper,1
øsregnede,1
rev,1
snorker,1
passerer,1
foranstaltet,1
udtaler,1
vække,1
afvasket,1
nikkede,1
udsprungen,1
bedækket,1
fotograferede,1
rettænkende,1
fortænke,1
foregå,1
lånte,1
vartede,1
konkurrere,1
øve,1
lignede,1
forkede,1
forestilt,1
rådede,1
eksercere,1
hyppede,1
præsenterede,1
sveder,1
travede,1
skimte,1
bader,1
kæmpede,1
snupper,1
deles,1
nok,1
besvimede,1
støvede,1
kribler,1
opgive,1
studerede,1
brækkes,1
rådet,1
hilses,1
trøst,1
tilføjet,1
indtrådte,1
tjænte,1
beskytte,1
trængte,1
trøstes,1
opbrugt,1
glemmes,1
udbeboet,1
sanset,1
tilvokset,1
meddelt,1
meddelte,1
marscherede,1
standse,1
rystet,1
blødende,1
tildækkes,1
pibe,1
tordne,1
såredes,1
udvæntet,1
huskede,1
belønne,1
mishandlet,1
afreven,1
afført,1
betænker,1
omrodet,1
krybe,1
vækte,1
forelagt,1
omringle,1
besørgede,1
gaves,1
opsøgt,1
ve,1
strøet,1
færdedes,1
røvet,1
stoler,1
igennem,1
ansagt,1
ladede,1
tvilede,1
forestod,1
overbevist,1
udstået,1
dæmpe,1
skyldte,1
belejret,1
opblødt,1
overrakt,1
forhøje,1
slagter,1
anvendt,1
afhentet,1
afbrændt,1
rådende,1
polstrede,1
aftrukken,1
forekomme,1
omringet,1
brække,1
savner,1
forhøjet,1
forbandet,1
skenket,1
skikkede,1
forandrer,1
benyttet,1
bortskikket,1
fare,1
fortære,1
vikler,1
sammenkalde,1
sluttede,1
rettede,1
sæt,1
opfrisker,1
indtagen,1
nummerere,1
blandet,1
pusle,1
mørknes,1
kredser,1
betjæner,1
forespurgte,1
bestod,1
forsvundet,1
indbragt,1
storme,1
tvivlede,1
klemme,1
ordnede,1
skåret,1
antændte,1
præstere,1
afrejst,1
aftalt,1
indtaget,1
foretager,1
slæbte,1
anvende,1
indretter,1
betragter,1
yde,1
præsteret,1
ersætte,1
fordele,1
interessere,1
overgår,1
ødelægge,1
afskreven,1
henvist,1
proppe,1
raserer,1
klippet,1
meld,1
forskanset,1
nærmede,1
gravede,1
planlagt,1
aabnet,1
indløber,1
forstærkes,1
tilkalder,1
telefoneres,1
befalede,1
tagne,1
indsaa,1
varmet,1
artet,1
skylder,1
prøves,1
kvalmer,1
vugger,1
kureret,1
bukker,1
båren,1
               ,1
klædte,1
modtog,1
fodres,1
sammenligner,1
indkøbt,1
          ,1
                       ,1
belægger,1
ikke,1
hav,1
helbredes,1
aftæret,1
sandset,1
klagede,1
trille,1
puttede,1
beskyttet,1
ordner,1
stritte,1
stige,1
udsprøjtet,1
pillede,1
erklærede,1
narrer,1
beanfragede,1
ber,1
bønhører,1
forpestet,1
hjem,1
pysle,1
og,1
drev,1
myldrede,1
led,1
ladt,1
henvænde,1
afløses,1
bevilget,1
skaffes,1
piblede,1
afskikket,1
indgnides,1
oversat,1
renset,1
kritisere,1
skubbede,1
tumle,1
knupper,1
erobret,1
trykket,1
idømt,1
smægter,1
fanget,1
kobler,1
forlagt,1
tjæneste,1
smigre,1
danset,1
vejede,1
vejet,1
frikende,1
nåes,1
lystre,1
overraske,1
bumlet,1
forlænger,1
snakkes,1
levnet,1
forestiller,1
misunder,1
smøre,1
fuldendt,1
gror,1
aftrukket,1
trækkende,1
foreslog,1
andragende,1
udsmykket,1
fortryllet,1
strækker,1
forvoldt,1
kæmme,1
foretrak,1
puster,1
funktionere,1
skjulte,1
op-spist,1
udføre,1
betjene,1
skik,1
løbende,1
besøger,1
udstå,1
smider,1
opfylde,1
anstormende,1
skumper,1
bankede,1
forsømmet,1
glem,1
fortsætter,1
vel,1
forbedrede,1
overskrider,1
stører,1
forskånet,1
hørende,1
stifte,1
krænker,1
donrer,1
knækket,1
foragte,1
udmærket,1
tilegner,1
marchere,1
mig,1
beendet,1
indskudt,1
tilbydes,1
oprømme,1
afrasere,1
løse,1
indskubbet,1
vænner,1
rømmede,1
smides,1
tilbagelagt,1
betegnet,1
funktionerer,1
bosat,1
støttet,1
bygger,1
heldede,1
trøstede,1
afsavede,1
afvisket,1
udlevere,1
tilkomme,1
forstås,1
anser,1
besvare,1
gennemtrængt,1
ophørt,1
varmer,1
knibe,1
gentog,1
afgået,1
fange,1
vovede,1
opgivet,1
leet,1
spændt,1
udskrevet,1
streget,1
vekslet,1
forskånes,1
skønnet,1
danner,1
forleve,1
skænder,1
besmide,1
konstatere,1
målede,1
skærpet,1
fejres,1
opsparet,1
kløver,1
benytter,1
skjuler,1
sammensyede,1
leere,1
forbe-redede,1
skaffer,1
svundne,1
indtruffen,1
dampende,1
tigget,1
blæste,1
knuste,1
rørt,1
putte,1
besvaret,1
tilbringer,1
drikkes,1
forvaret,1
listende,1
kippet,1
anholdt,1
spenderet,1
gennemlæst,1
beklage,1
tilbygget,1
begyndes,1
truer,1
vikle,1
opereret,1
benyttede,1
udladt,1
revidere,1
låne,1
forelægge,1
høster,1
tærske,1
russer,1
tilberedt,1
udtale,1
bægge,1
levende,1
dekorerede,1
indgravet,1
sneget,1
overtænke,1
ty,1
fald,1
indsat,1
lyser,1
knagende,1
gøs,1
greben,1
beskrænket,1
tøer,1
lande,1
bøvlet,1
stak,1
diskuterede,1
kredse,1
allemeret,1
bestyrer,1
læres,1
vedbliver,1
funkgerer,1
bestemte,1
sorterer,1
hævne,1
straffe,1
gjaldt,1
spytte,1
skønner,1
treneret,1
rulle,1
rullede,1
bedrøvet,1
spørgende,1
hjemslæbt,1
tørret,1
eksploderet,1
forringede,1
ruttet,1
opdagede,1
sprøjtede,1
fuldføre,1
beundrer,1
tillader,1
anskaffet,1
roder,1
tysse,1
sendet,1
offeres,1
skånet,1
nagle,1
klirrede,1
anrettet,1
løfte,1
pfotograferet,1
skulle,1
mærsk,1
spekulere,1
rumle,1
påtrykt,1
overladt,1
stjæler,1
uddelt,1
kvalmet,1
skyldes,1
kapitulerende,1
opbevares,1
indstillet,1
forsage,1
forbruger,1
dølge,1
arvet,1
forelagte,1
kuldkastede,1
photografere,1
anmeldt,1
skråner,1
belaste,1
brummet,1
tilgodehavende,1
stolet,1
plantet,1
udhulede,1
pludrede,1
vækket,1
læsse,1
øjne,1
skille,1
forelsket,1
forstyrre,1
udvidende,1
øser,1
udrettet,1
ekspederes,1
overskreden,1
udlagt,1
brændende,1
pirre,1
vander,1
forlænge,1
forkorte,1
ramme,1
rammes,1
forvares,1
underskrive,1
ofres,1
selvlavet,1
forrette,1
afvist,1
standset,1
sprængt,1
naglet,1
dreje,1
afhænger,1
angribe,1
arbejdes,1
skader,1
brummer,1
ekspeder,1
angribes,1
undtaget,1
lækker,1
læppe,1
indladt,1
fisket,1
oprørt,1
nedstukket,1
tav,1
slaget,1
fylder,1
fungerer,1
hamre,1
sysler,1
skyndte,1
forvildet,1
efterlod,1
maget,1
